Top 2000 ranking,Titel,Artist,Year,Muziekweb-ID,Track,Language
5,Wish You Were Here,Pink Floyd,1975,JKX0372,4,English
25,Purple Rain,Prince & The Revolution,1984,JKX0207,9,English
45,The Scientist,Coldplay,2002,JK114425,4,English
125,Belfast Child,Simple Minds,1989,JK109661,31,English
145,Sterrenstof,De Jeugd Van Tegenwoordig,2010,JK164968,3,Dutch
165,Du Hast,Rammstein,1997,JK172437,5,German
245,Respect,Aretha Franklin,1967,HDX9897,1,English
265,Walk Of Life,Dire Straits,1985,JKX0687,3,English
285,Do I Wanna Know,Arctic Monkeys,2013,JK183829,1,English
305,The Unforgiven,Metallica,1991,JK58212,4,English
325,Mamma Mia,ABBA,1975,HDX9351,4,English
345,My Immortal,Evanescence,2003,JK117940,4,English
352,Bat Out Of Hell,Meat Loaf,1977,JK120990,1,English
365,Silent Lucidity,Queensrÿche,1991,JK194217,14,English
425,Don't Let The Sun Go Down On Me,George Michael & Elton John,1991,JK63198,1,English
445,Wicked Game,Chris Isaak,1991,JK55348,1,English
465,Halt Mich,Herbert Grönemeyer,1988,JK150891,24,German
485,"Welterusten, Mijnheer De President",Boudewijn De Groot,1966,HAX2307,6,Dutch
525,Annie's Song,John Denver,1976,JK186454,1,English
545,Lola (Live),Kinks,1980,JK50285,38,English
605,Blowin' In The Wind,Bob Dylan,1963,JK189078,1,English
665,Hometown Glory,Adele,2009,JK146026,12,English
685,The Wind Cries Mary,Jimi Hendrix Experience,1967,JK159752,3,English
705,Albatross,Fleetwood Mac,1969,JK53998,5,English
745,Alone,Heart,1987,JK102384,6,English
765,Hallelujah,Lisa Lois,2009,JK168723,20,English
785,Jungleland,Bruce Springsteen,1975,JKX0019,8,English
805,Best Of You,Foo Fighters,2005,JK157518,2,English
845,Gangsta's Paradise,Coolio,1995,JK79487,3,English
865,Where The Wild Roses Grow,Nick Cave & Kylie Minogue,1995,JK167949,5,English
885,Born To Be Wild,Steppenwolf,1968,JK143153,2,English
905,21 Guns,Green Day,2009,HFX7338,2,English
